iter	Passed	Remaining
193	342	1422
194	345	1424
195	347	1423
196	348	1422
197	353	1433
198	358	1443
199	360	1443
200	363	1443
201	365	1442
202	367	1442
203	369	1442
204	373	1448
205	376	1450
206	378	1450
207	380	1447
208	382	1446
209	384	1444
210	387	1449
211	389	1449
212	391	1447
213	393	1446
214	395	1443
215	397	1440
216	398	1438
217	400	1436
218	403	1440
219	405	1438
220	407	1436
221	409	1434
222	411	1432
223	412	1430
224	414	1429
225	419	1435
226	421	1433
227	422	1431
228	424	1428
229	426	1426
230	427	1424
231	429	1421
232	430	1418
233	435	1424
234	437	1424
235	439	1421
236	440	1418
237	442	1415
238	443	1413
239	445	1410
240	448	1411
241	449	1409
242	451	1406
243	452	1402
244	454	1399
245	455	1396
246	456	1392
247	458	1388
248	459	1384
249	460	1380
250	461	1377
251	464	1378
252	466	1376
253	467	1373
254	469	1372
255	471	1369
256	472	1366
257	474	1363
258	475	1361
259	479	1363
260	480	1361
261	482	1357
262	483	1354
263	485	1352
264	486	1348
265	487	1344
266	488	1341
267	489	1337
268	490	1333
269	494	1336
270	496	1334
271	498	1334
272	501	1335
273	503	1334
274	505	1332
275	508	1334
276	510	1332
277	512	1330
278	513	1327
279	515	1324
280	516	1321
281	517	1318
282	519	1315
283	520	1312
284	523	1312
285	525	1311
286	526	1308
287	528	1306
288	529	1303
289	531	1300
290	532	1297
291	533	1294
292	535	1292
293	538	1293
294	540	1291
295	542	1290
296	543	1287
297	545	1284
298	546	1280
299	547	1277
300	548	1273
301	549	1270
302	550	1267
303	554	1268
304	555	1266
305	557	1264
306	558	1261
307	560	1259
308	561	1256
309	563	1253
310	564	1251
311	568	1253
312	570	1251
313	571	1248
314	572	1245
315	574	1243
316	575	1240
317	576	1236
318	577	1233
319	578	1230
320	580	1227
321	583	1229
322	585	1227
323	587	1224
324	588	1222
325	590	1219
326	591	1217
327	592	1214
328	594	1212
329	597	1213
330	599	1211
331	600	1208
332	602	1206
333	603	1203
334	604	1200
335	606	1197
336	607	1194
337	608	1191
338	609	1188
339	611	1187
340	615	1189
341	617	1187
342	618	1185
343	620	1182
344	621	1180
345	623	1178
346	625	1176
347	628	1177
348	629	1174
349	630	1171
350	632	1168
351	633	1166
352	634	1163
353	635	1160
354	636	1157
355	638	1154
356	639	1152
357	642	1152
358	644	1150
359	646	1148
360	647	1146
361	648	1143
362	650	1141
363	651	1138
364	653	1136
365	655	1134
366	658	1135
367	659	1133
368	661	1130
369	662	1128
370	663	1125
371	665	1122
372	666	1120
373	667	1117
374	668	1114
375	672	1116
376	674	1114
377	676	1112
378	677	1110
379	679	1108
380	680	1105
381	682	1103
382	683	1101
383	685	1099
384	688	1099
385	690	1097
386	691	1095
387	692	1092
388	693	1090
389	695	1088
390	696	1085
391	698	1082
392	699	1079
393	700	1077
394	703	1077
395	705	1075
396	706	1073
397	707	1070
398	709	1068
399	710	1066
400	712	1063
401	713	1061
402	717	1062
403	718	1060
404	720	1057
405	721	1055
406	722	1053
407	724	1050
408	725	1048
409	726	1045
410	727	1042
411	728	1040
412	730	1038
413	732	1037
414	734	1035
415	736	1033
416	737	1031
417	739	1029
418	741	1027
419	742	1025
420	744	1023
421	746	1022
422	748	1020
423	749	1018
424	751	1016
425	752	1013
426	753	1011
427	754	1008
428	755	1006
429	757	1003
430	758	1001
431	760	1000
432	762	999
433	764	996
434	766	995
435	767	992
436	768	990
437	770	988
438	771	986
439	774	986
440	776	983
441	777	981
442	779	979
443	780	977
444	781	975
445	783	972
446	784	970
447	785	967
448	786	965
449	789	964
450	791	962
451	792	961
452	794	958
453	795	956
454	797	954
455	798	952
456	799	950
457	801	948
458	804	948
459	806	946
460	808	945
461	809	943
462	811	941
463	812	938
464	813	936
465	815	934
466	816	931
467	820	932
468	822	930
469	823	928
470	825	926
471	826	925
472	829	923
473	831	922
474	836	924
475	838	923
476	840	921
477	841	919
478	843	917
479	845	915
480	846	913
481	847	910
482	850	910
483	852	908
484	854	907
485	855	904
486	856	902
487	858	900
488	859	898
489	861	896
490	865	897
491	867	895
492	868	893
493	871	892
494	872	890
495	874	888
496	875	885
497	876	883
498	880	883
499	882	882
500	883	880
501	884	877
502	886	876
503	888	873
504	889	871
505	891	870
506	894	870
507	896	868
508	897	865
509	899	863
510	900	861
511	901	859
512	902	857
513	903	854
514	905	852
515	906	850
516	909	850
517	911	848
518	913	846
519	914	844
520	916	842
521	917	840
522	918	837
523	920	836
524	922	834
525	925	833
526	926	831
527	927	829
528	929	827
529	930	825
530	931	822
531	933	820
532	934	818
533	935	816
534	939	816
535	941	814
536	942	812
537	944	810
538	945	808
539	946	806
540	948	804
541	950	802
542	952	801
543	954	800
544	955	798
545	957	795
546	958	793
547	960	791
548	961	789
549	962	787
550	964	785
551	965	783
552	969	783
553	971	781
554	972	779
555	974	777
556	975	776
557	977	774
558	978	771
559	979	769
560	982	768
561	984	767
562	986	765
563	987	763
564	988	761
565	990	759
566	991	757
567	992	755
568	993	752
569	995	750
570	996	749
571	999	747
572	1001	745
573	1002	744
574	1003	742
575	1005	740
576	1006	738
577	1008	736
578	1009	734
579	1012	733
580	1014	731
581	1016	729
582	1020	729
583	1021	727
584	1022	725
585	1024	723
586	1025	721
587	1034	724
588	1037	723
589	1039	722
590	1043	722
591	1047	722
592	1050	720
593	1052	719
594	1057	719
595	1060	718
596	1066	719
597	1069	718
598	1074	719
599	1081	721
600	1084	719
601	1090	720
602	1094	720
603	1098	720
604	1103	720
605	1106	719
606	1108	717
607	1110	715
608	1116	716
609	1121	717
610	1123	715
611	1126	713
612	1128	712
613	1130	710
614	1134	710
615	1138	709
616	1141	708
617	1143	707
618	1146	705
619	1153	706
620	1158	707
621	1163	706
622	1167	706
623	1169	704
624	1171	703
625	1174	701
626	1176	699
627	1178	697
628	1186	699
629	1188	698
630	1191	696
631	1193	695
632	1202	697
633	1204	695
634	1208	694
635	1213	694
636	1216	693
637	1218	691
638	1220	689
639	1223	687
640	1227	687
641	1230	685
642	1232	684
643	1234	682
644	1236	680
645	1238	678
646	1243	678
647	1245	676
648	1247	674
649	1250	673
650	1252	671
651	1257	671
652	1259	669
653	1262	667
654	1265	666
655	1267	664
656	1272	664
657	1275	662
658	1279	662
659	1281	660
660	1284	658
661	1289	658
662	1292	656
663	1294	655
664	1296	653
665	1298	651
666	1300	649
667	1304	648
668	1308	647
669	1310	645
670	1312	643
671	1314	641
672	1321	642
673	1324	640
674	1331	641
675	1336	640
676	1338	638
677	1341	637
678	1343	635
679	1350	635
680	1352	633
681	1355	631
682	1358	630
683	1360	628
684	1365	628
685	1368	626
686	1370	624
687	1373	622
688	1375	621
689	1380	620
690	1382	618
691	1384	616
692	1386	614
693	1388	612
694	1390	610
695	1391	607
696	1394	606
697	1398	605
698	1400	603
699	1403	601
700	1409	600
701	1410	598
702	1412	596
703	1413	594
704	1415	592
705	1417	590
706	1418	588
707	1425	587
708	1428	586
709	1430	584
710	1433	582
711	1438	581
712	1440	579
713	1442	577
714	1444	575
715	1445	573
716	1447	571
717	1450	569
718	1455	568
719	1457	566
720	1460	565
721	1463	563
722	1468	562
723	1471	560
724	1473	558
725	1475	556
726	1477	554
727	1480	552
728	1484	551
729	1487	550
730	1489	548
731	1493	546
732	1495	544
733	1501	544
734	1503	541
735	1504	539
736	1507	537
737	1509	535
738	1512	534
739	1515	532
740	1518	530
741	1521	529
742	1528	528
743	1535	528
744	1536	526
745	1539	524
746	1544	522
747	1546	521
748	1549	519
749	1552	517
750	1558	516
751	1560	514
752	1564	513
753	1566	510
754	1568	508
755	1570	506
756	1576	506
757	1578	504
758	1580	501
759	1582	499
760	1583	497
761	1585	495
762	1588	493
763	1591	491
764	1593	489
765	1595	487
766	1598	485
767	1600	483
768	1602	481
769	1606	479
770	1610	478
771	1612	476
772	1614	474
773	1615	471
774	1623	471
775	1625	469
776	1627	466
777	1629	464
778	1631	462
779	1636	461
780	1639	459
781	1642	457
782	1644	455
783	1646	453
784	1655	453
785	1657	451
786	1659	449
787	1662	447
788	1667	446
789	1670	443
790	1672	441
791	1674	439
792	1676	437
793	1678	435
794	1683	434
795	1685	431
796	1687	429
797	1689	427
798	1690	425
799	1692	423
800	1694	421
801	1698	419
802	1700	417
803	1703	415
804	1706	413
805	1708	411
806	1713	409
807	1715	407
808	1718	405
809	1720	403
810	1722	401
811	1724	399
812	1731	398
813	1733	396
814	1735	394
815	1740	392
816	1743	390
817	1746	388
818	1749	386
819	1757	385
820	1760	383
821	1763	381
822	1765	379
823	1768	377
824	1774	376
825	1775	374
826	1778	372
827	1781	369
828	1782	367
829	1785	365
830	1789	363
831	1792	361
832	1794	359
833	1796	357
834	1797	355
835	1799	353
836	1805	351
837	1808	349
838	1810	347
839	1812	345
840	1814	343
841	1819	341
842	1822	339
843	1824	337
844	1827	335
845	1829	333
846	1836	331
847	1838	329
848	1840	327
849	1842	325
850	1844	322
851	1846	320
852	1851	318
853	1853	316
854	1855	314
855	1857	312
856	1860	310
857	1866	308
858	1868	306
859	1871	304
860	1873	302
861	1874	300
862	1876	297
863	1883	296
864	1888	294
865	1891	292
866	1898	291
867	1905	289
868	1908	287
869	1912	285
870	1915	283
871	1917	281
872	1919	279
873	1921	276
874	1924	274
875	1929	273
876	1931	270
877	1932	268
878	1934	266
879	1936	264
880	1937	261
881	1939	259
882	1944	257
883	1947	255
884	1949	253
885	1952	251
886	1955	249
887	1961	247
888	1968	245
889	1970	243
890	1975	241
891	1977	239
892	1979	237
893	1982	235
894	1985	232
895	1990	231
896	1993	228
897	1995	226
898	1997	224
899	1999	222
900	2003	220
901	2006	217
902	2009	215
903	2011	213
904	2014	211
905	2019	209
906	2020	207
907	2024	205
908	2026	202
909	2028	200
910	2033	198
911	2037	196
912	2039	194
913	2042	192
914	2049	190
915	2051	188
916	2053	185
917	2055	183
918	2058	181
919	2060	179
920	2069	177
921	2071	175
922	2072	172
923	2074	170
924	2077	168
925	2081	166
926	2084	164
927	2086	161
928	2088	159
929	2093	157
930	2099	155
931	2101	153
932	2103	151
933	2105	148
934	2109	146
935	2111	144
936	2115	142
937	2118	139
938	2120	137
939	2125	135
940	2127	133
941	2129	131
942	2131	128
943	2134	126
944	2135	124
945	2141	122
946	2143	119
947	2146	117
948	2150	115
949	2152	113
950	2159	111
951	2161	108
952	2164	106
953	2166	104
954	2174	102
955	2177	100
956	2179	97
957	2183	95
958	2188	93
959	2194	91
960	2196	89
961	2197	86
962	2204	84
963	2207	82
964	2210	80
965	2211	77
966	2213	75
967	2215	73
968	2220	71
969	2222	68
970	2223	66
971	2225	64
972	2227	61
973	2228	59
974	2229	57
975	2233	54
976	2235	52
977	2236	50
978	2238	48
979	2239	45
980	2241	43
981	2242	41
982	2244	38
983	2247	36
984	2249	34
985	2250	31
986	2252	29
987	2253	27
988	2255	25
989	2256	22
990	2257	20
991	2258	18
992	2259	15
993	2263	13
994	2265	11
995	2267	9
996	2268	6
997	2269	4
998	2271	2
999	2273	0
